policy_id,f1_mean,f1_std,f2_mean,f2_std,f3_mean,f3_std
0,0.04279986704489115,0.046132987463112174,0.840939333719599,0.009155785409693107,0.8033823529411763,0.06999811834709577
1,0.2551687854058068,0.04132307680617743,0.7823614327675514,0.007020823172967736,0.7064705882352942,0.07476554789488996
2,0.374236532048622,0.03872662627440098,0.7564495037598372,0.005389110085759367,0.6289705882352942,0.07782612996187431
3,0.13818734587721637,0.046833273199758024,0.8284992132269575,0.00928082116444582,0.7211764705882353,0.07540239406517098
4,0.29788706774675316,0.041679931286953555,0.777895697167756,0.007122879675646584,0.6552941176470588,0.0774050995911465
5,0.40232792612780655,0.03858214825399576,0.754007158071562,0.005447989374720399,0.5958823529411765,0.0825195729847135
6,0.18577188138842132,0.047956200276215645,0.8210793015122715,0.00914956566164166,0.6792647058823529,0.07871032212702993
7,0.32792881255261813,0.04232854227235381,0.7743466390028233,0.007160592890305715,0.6197058823529412,0.08253379491216298
8,0.42244808341968015,0.03862148875867535,0.7519625565503979,0.0054688989273295975,0.5694117647058824,0.08417807775791122
9,0.22794544397739278,0.04566907189322538,0.814375448095905,0.008959612934314546,0.6466176470588235,0.08414902498673378
10,0.3553526691221202,0.0409619058165289,0.7709424995692722,0.007269644084594889,0.5904411764705882,0.08381049885494514
11,0.44084143685350696,0.036990311094932754,0.7500226271063981,0.0055363516215014685,0.5476470588235294,0.0845655223605734
12,0.26183795628911644,0.04531717135698056,0.8083890056022409,0.008688307032427369,0.6173529411764705,0.08292682521442397
13,0.3788040082830564,0.04070310002567162,0.767833215925259,0.007061816933637312,0.5673529411764706,0.08446419604680956
14,0.45781966406497715,0.036254898821365046,0.7482116971788716,0.005471431797471457,0.5280882352941176,0.08511568174400458
15,0.29227912773256376,0.04297966263866341,0.8029689639744787,0.008366958189584398,0.5922058823529411,0.08233169249962241
16,0.3988105468883958,0.0395726721246134,0.7650890422141079,0.007097208635557037,0.5482352941176472,0.08391947825229162
17,0.4729107377820291,0.036392608662170214,0.7466140914699213,0.005494331896696671,0.5108823529411765,0.08419201952703405
18,0.3211360939008571,0.041313224885215924,0.7977553590880797,0.008408142413093435,0.5672058823529411,0.08066217040783673
19,0.41927121955759944,0.040051899793232815,0.7622606236939221,0.007034049000402058,0.5241176470588236,0.0854959541234569
20,0.4883965068972333,0.03692100182314885,0.7448404851523943,0.005434433157453505,0.49014705882352944,0.08419034147334692
21,0.34942475889408864,0.04113936096554929,0.7925569227691076,0.008471629434123246,0.5411764705882353,0.08229591370366532
22,0.43981429583300247,0.03918829889679428,0.7594193184218132,0.006999565900152989,0.5002941176470589,0.08396867344232652
23,0.5045991965339267,0.0359301351442687,0.7430716856186919,0.00547913036390336,0.468235294117647,0.08044537049570798
24,0.37379599376396194,0.040471191039355016,0.7876792637193766,0.008383872923709386,0.5205882352941177,0.07993798782416381
25,0.45854710246551433,0.03791691417317803,0.7565601268285091,0.0069608242581785775,0.47911764705882354,0.08195662842616709
26,0.5194425432194564,0.03332343619369635,0.7412758763227514,0.005429115078402053,0.4505882352941177,0.07822072411941244
27,0.4001711136153039,0.03821054116647987,0.7822752243258415,0.008148486250466632,0.4964705882352941,0.07975070266335361
28,0.4786090620727236,0.03660001530612502,0.753480921882642,0.006791903561974621,0.4551470588235294,0.08074619717178935
29,0.5353481808757505,0.03240773545222047,0.739268996834845,0.005229168614011115,0.4298529411764706,0.0755588971981571
30,0.42664820123601,0.03706391188723872,0.7772113717014584,0.0081710909099047,0.4748529411764706,0.07836716198567792
31,0.49636610949526916,0.0361771828703972,0.7508442498527189,0.006686894929099879,0.43529411764705883,0.07557744873470153
32,0.5502779311714966,0.03261374263159506,0.7376513157346273,0.005206044512827712,0.41044117647058825,0.07296100132979134
33,0.45162986842833186,0.03421911897863026,0.7721767415299453,0.007829498800971117,0.4511764705882353,0.07864637001859066
34,0.5166604873613,0.033201968527558474,0.747642967256347,0.006305590588024159,0.41029411764705886,0.07579283090046529
35,0.5649154883550399,0.02967392064257082,0.7356921403978258,0.0049948545768087,0.3889705882352941,0.07467697472318423
36,0.4769421211229819,0.03452808864621215,0.7665098344893514,0.007748297715368635,0.4273529411764706,0.07755938313575843
37,0.5368908142130716,0.03345693088561673,0.7443396334228136,0.006465426697478995,0.3901470588235294,0.07753513888661859
38,0.5805044365412018,0.03034756415375268,0.7336594356492597,0.005044792347732094,0.36823529411764705,0.07441588014776791
39,0.505147266897524,0.03395658412539085,0.7604979592531457,0.0073717608670108995,0.40220588235294114,0.07883944915804975
40,0.5571153890868207,0.03294729750784834,0.7408718070561559,0.006270362106024072,0.3688235294117647,0.07642623602959
41,0.5975755403202461,0.03054972112224074,0.7314001037915167,0.0050460356838929995,0.3505882352941177,0.07254648969126393
42,0.5313228272778693,0.032224541439970514,0.7540850468659687,0.007068489351438457,0.37764705882352945,0.07438549820966064
43,0.5777808099214481,0.03209235849129311,0.7373721703959362,0.006053374400021918,0.344264705882353,0.07245280400888311
44,0.6147150855402558,0.02910787709994014,0.7289022956404785,0.00491181978744516,0.3261764705882353,0.07247634924182317
45,0.5596491150620916,0.031140136784061988,0.7475305799403096,0.006714801639264225,0.34970588235294114,0.07124228957797378
