label,w,delta,f1,f2,f3
current,0.5,0,0.42664820123601,0.7772113717014584,0.4748529411764706
plus_delta1,0.5,1,0.4963661094952691,0.7508442498527189,0.4352941176470588
plus_delta2,0.5,2,0.5502779311714966,0.7376513157346273,0.4104411764705882
selected,0.65,0,0.505147266897524,0.7604979592531457,0.4022058823529411
