season,rule_variant,exact_match_rate,hit_rate_any,align_fan,align_judge,sens_fan,sens_judge
1,percent,1.0,1.0,1.0,0.5,0.7802743205272237,0.6641388440117574
1,percent_js,0.5,0.5,0.5,1.0,0.7802743205272237,0.6641388440117574
1,rank,0.75,0.75,0.75,0.75,0.691595378522852,0.729060855202805
1,rank_js,0.5,0.5,0.5,1.0,0.691595378522852,0.729060855202805
2,percent,1.0,1.0,1.0,0.42857142857142855,0.828350196709608,0.22883147898777934
2,percent_js,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.828350196709608,0.22883147898777934
2,rank,1.0,1.0,1.0,0.42857142857142855,0.474360054753886,0.562632134515934
2,rank_js,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.474360054753886,0.562632134515934
3,percent,0.625,0.75,0.7142857142857143,0.7142857142857143,0.775709791150278,0.905425904133733
3,percent_js,0.5,0.625,0.5714285714285714,0.7142857142857143,0.775709791150278,0.905425904133733
3,rank,0.625,0.75,0.7142857142857143,0.5714285714285714,0.846261538760581,0.7588684516851971
3,rank_js,0.5,0.625,0.5714285714285714,0.7142857142857143,0.846261538760581,0.7588684516851971
4,percent,0.5,0.5,0.625,0.875,0.7327975067456608,0.9815440994611251
4,percent_js,0.375,0.375,0.5,1.0,0.7327975067456608,0.9815440994611251
4,rank,0.5,0.5,0.625,0.75,0.8587242932335872,0.8882859425225463
4,rank_js,0.5,0.5,0.625,0.75,0.8587242932335872,0.8882859425225463
5,percent,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.5606486396178954,0.8788423194789988
5,percent_js,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.7777777777777778,0.5606486396178954,0.8788423194789988
5,rank,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.7901976637799729,0.7965253734704397
5,rank_js,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.7777777777777778,0.7901976637799729,0.7965253734704397
6,percent,0.875,0.875,0.8571428571428571,0.7142857142857143,0.7828753941846529,0.9168970111137135
6,percent_js,0.625,0.625,0.5714285714285714,1.0,0.7828753941846529,0.9168970111137135
6,rank,0.75,0.75,0.7142857142857143,0.8571428571428571,0.8182989441648418,0.8754477531073513
6,rank_js,0.625,0.625,0.5714285714285714,1.0,0.8182989441648418,0.8754477531073513
7,percent,0.625,0.75,0.8333333333333334,0.5,0.8084734830697753,0.9601281969355542
7,percent_js,0.5,0.625,0.6666666666666666,0.8333333333333334,0.8084734830697753,0.9601281969355542
7,rank,0.75,1.0,1.0,0.5,0.8960575330871441,0.8542961991610675
7,rank_js,0.5,0.75,0.6666666666666666,0.8333333333333334,0.8960575330871441,0.8542961991610675
8,percent,0.5555555555555556,0.5555555555555556,0.5,0.875,0.835814626728843,0.962710488962189
8,percent_js,0.4444444444444444,0.4444444444444444,0.375,1.0,0.835814626728843,0.962710488962189
8,rank,0.5555555555555556,0.5555555555555556,0.5,0.75,0.8917065569485935,0.8894925235680234
8,rank_js,0.4444444444444444,0.4444444444444444,0.375,0.875,0.8917065569485935,0.8894925235680234
9,percent,0.6666666666666666,0.8888888888888888,1.0,0.4,0.6354645854779368,0.9275284186562363
9,percent_js,0.4444444444444444,0.6666666666666666,0.6,0.8,0.6354645854779368,0.9275284186562363
9,rank,0.6666666666666666,0.6666666666666666,0.6,0.8,0.7587213013636506,0.8420360498591147
