,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta0,-0.098059,0.040061,-0.168828,-0.01819,0.00171,0.000952,569.243979,727.85278,1.007555
beta_age,-0.260832,0.016556,-0.291551,-0.228857,0.000328,0.000311,2555.166342,2169.632186,1.000694
beta_week,0.576899,0.013821,0.550626,0.602985,0.00025,0.000263,3058.85372,2109.024391,1.002483
sigma_eps,0.69893,0.009314,0.681886,0.71707,0.000193,0.000198,2342.540191,1673.135637,1.000193
sigma_pro,0.196504,0.037397,0.131844,0.268566,0.00176,0.001084,468.106112,770.638833,1.004416
sigma_season,0.057564,0.030258,0.000187,0.105472,0.001518,0.000662,382.86251,644.163698,1.009464
sigma_celeb,0.0,0.0,0.0,0.0,0.0,,2504.0,2504.0,
