season,n_events,spearman_mean,spearman_median,upset_rate_judges,elim_bottomk_rate_judges
1,5,0.9851640199545102,1.0,0.5,0.5
2,8,0.9836513791475141,0.9934279126922128,0.5714285714285714,0.42857142857142855
3,9,0.9664007631097571,0.9752897537147148,0.625,0.375
4,10,0.9829113592090509,0.991331430504008,0.625,0.375
5,10,0.9763782844192768,0.9822778854908616,0.625,0.375
6,10,0.9898795486420637,0.9911257038846688,0.375,0.5
7,10,0.9706309460709944,0.986817140334258,0.5,0.375
8,11,0.9923122522579082,0.9940297973880048,0.5555555555555556,0.3333333333333333
9,10,0.9914717048364559,0.9936315173479242,0.5555555555555556,0.4444444444444444
10,10,0.9856346397009113,0.9913004253060831,0.375,0.625
11,10,0.9860385114825789,0.9866485931577285,0.5555555555555556,0.4444444444444444
12,10,0.9709247949131109,0.9791384395463576,0.5,0.5
13,10,0.986585724498112,0.9895273645122343,0.4444444444444444,0.5555555555555556
14,10,0.9736473730827926,0.9883209847871386,0.5,0.375
15,10,0.9723102680050522,0.9685787632191368,0.5714285714285714,0.14285714285714285
16,10,0.9854440869643325,0.9885683799474265,0.125,0.875
17,11,0.9838244678324198,0.9839623052646977,0.75,0.25
18,10,0.9744721269039743,0.9802971119582808,0.7142857142857143,0.14285714285714285
19,11,0.9938866147785955,0.9958705948858224,0.6666666666666666,0.3333333333333333
20,10,0.9720856045276429,0.9857804233998264,0.75,0.125
21,11,0.9619746123681707,0.9856107606091623,0.16666666666666666,0.5
22,10,0.9839138356247501,0.9859400659451455,0.42857142857142855,0.42857142857142855
23,11,0.9824103531180584,0.9894548898363074,0.625,0.25
24,10,0.9941759773109802,0.9927762841765204,0.625,0.375
25,10,0.9772124873879774,0.9912495203283127,0.5714285714285714,0.14285714285714285
26,4,0.9896146638212131,0.9882390746114433,0.3333333333333333,0.3333333333333333
27,9,0.9859143971441343,0.991631652042901,1.0,0.0
28,11,0.9838483443803067,0.9894548898363074,0.5714285714285714,0.42857142857142855
29,11,0.9418481534792817,0.9654754565201836,0.5555555555555556,0.3333333333333333
30,10,0.9709302715584093,0.9780209219865957,0.375,0.5
31,10,0.9755448895275285,0.9884867285624577,0.6666666666666666,0.3333333333333333
32,11,0.9780851312114383,0.9922778767136679,0.7777777777777778,0.2222222222222222
33,9,0.970033380243135,0.9746794344808964,0.4,0.6
34,11,0.9565393359399974,0.9766504768063924,0.75,0.125
