event_id,season,week,rule_mode,elim_count,hard_hit_set,hard_hit_all_in_bottomk,hard_hit_k1_exact,hard_stage1_hit_bottom2,hard_stage2_hit_pred,use_two_stage,ppc_p_mean,ppc_p_q025,ppc_p_q975,ppc_logp_mean,ppc_logp_q025,ppc_logp_q975,pi_hdi_width_mean,pi_hdi_width_median,pi_sd_mean,pi_sd_median,pi_mean_max,pi_mean_min
10-4,10,4,percent,1,1,1,1.0,,,0,0.1130993585032587,0.0931685381242557,0.1203521186796357,-2.1815655774487595,-2.3733451883598224,-2.1173335106048508,0.3544191946567168,0.3610253615560558,0.13764515664580476,0.1407788317256126,0.1224358751832096,0.099429970488872
10-5,10,5,percent,1,1,1,1.0,,,0,0.1282276970723198,0.1030580283678647,0.1379017386129968,-2.0565523383131694,-2.272463068052424,-1.981213886623832,0.39017322170998153,0.38940885545328535,0.14829273751244804,0.15078323910561175,0.1324841333935022,0.1160666984931037
10-6,10,6,percent,1,1,1,1.0,,,0,0.1459763860107318,0.1151540057640263,0.1576555171196018,-1.9272130422993023,-2.1614848686613213,-1.8473428976045856,0.4524859974197083,0.4614675590424403,0.16190035875603584,0.1641366601766115,0.1545283852497867,0.1261478749255849
10-7,10,7,percent,1,1,1,1.0,,,0,0.1683275958377562,0.1284751865255082,0.183587742015794,-1.7856796189362476,-2.0520195172972335,-1.6950625679884024,0.5118958060422817,0.5210181103337829,0.17721079281748975,0.17819672425063024,0.1789205763276901,0.1503578342752197
10-8,10,8,percent,1,1,1,1.0,,,0,0.2051268698808433,0.1508123774777391,0.2282542626143851,-1.5890271892100043,-1.891718765540234,-1.4772950845486996,0.601198487690316,0.605968271695044,0.199075462681306,0.2027952150043844,0.2096631122085691,0.1823488814525786
10-9,10,9,percent,1,1,1,1.0,,,0,0.2559515695470654,0.1837521429244802,0.2914303559233394,-1.3693874942913034,-1.6941674800175928,-1.2329542180374342,0.7106347049857891,0.7289290400865474,0.2264749273854532,0.2303702432443484,0.2593787431684296,0.2268691164159667
10-10,10,10,percent,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.8440950743686764,0.8490154789613411,0.2589165945068895,0.258833076655525,0.3371028735342575,0.3297385734484236
11-1,11,1,percent,1,0,0,0.0,,,0,0.084299253120937,0.0708509549814444,0.08869362152055,-2.47503717359605,-2.6471768342278557,-2.4225673029564954,0.2578631859843206,0.25101696486067054,0.11078075123551055,0.1084387376067936,0.0905196214370539,0.0780278946556914
11-2,11,2,percent,1,1,1,1.0,,,0,0.0929837415268901,0.0771704356481746,0.0984237089143481,-2.3771339290731044,-2.5617388572812256,-2.3184735604465643,0.28459549733373907,0.2877127463486294,0.1183106167202713,0.1190453671260888,0.0982598839402988,0.0844670174511061
11-3,11,3,percent,1,1,1,1.0,,,0,0.1014815906431439,0.0846842471080814,0.107456597157699,-2.289814988193116,-2.4688256890170996,-2.230668260322533,0.31101362973402874,0.30969534431298584,0.12626058126928547,0.1245306048075769,0.1093782659229923,0.0903026898564546
11-4,11,4,percent,1,1,1,1.0,,,0,0.1136173105009913,0.0931090571534395,0.1212636706280576,-2.177079568335383,-2.3739838178136727,-2.1097880087766647,0.34831001083661,0.3415894082053097,0.1363792567301687,0.1361161800786927,0.1203754896009394,0.1029756741393002
11-5,11,5,percent,1,1,1,1.0,,,0,0.126347686266768,0.1013973010048605,0.1351895879158464,-2.0713559561304176,-2.2887088107792257,-2.001077130903707,0.3874421278980749,0.3883622268784158,0.14681121364563113,0.1485136240328287,0.1349308911376228,0.1142264377721803
11-6,11,6,percent,1,0,0,0.0,,,0,0.1430536963447437,0.112460303548864,0.1540751332235924,-1.947512796176664,-2.1851549822114467,-1.8703149175586984,0.4475108758900186,0.4378719927417306,0.16134884960063456,0.1592995269849453,0.1538348889662593,0.1278050572145425
