,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta0,-2.928967,0.091882,-3.100917,-2.756785,0.002748,0.001574,1112.07923,1897.543967,1.001541
beta_age,-0.583622,0.050488,-0.673439,-0.486761,0.001856,0.000884,736.335377,1470.788205,1.002542
beta_week,0.210687,0.01784,0.17915,0.246765,0.000268,0.00029,4440.23837,2844.410072,1.001057
sigma_eps,0.723478,0.014464,0.695314,0.74952,0.000258,0.000215,3140.096737,2720.652201,1.000951
sigma_pro,0.289826,0.086707,0.139401,0.462812,0.005414,0.003768,254.943668,334.430883,1.008721
sigma_season,0.173321,0.080648,0.007237,0.311412,0.005471,0.002378,211.961347,212.787344,1.027981
sigma_celeb,0.871687,0.04157,0.792609,0.947292,0.00146,0.000675,812.834768,1884.713097,1.003008
