,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta0,-0.144544,0.042596,-0.224175,-0.063458,0.00095,0.000735,2005.815415,2293.094876,1.001036
beta_age,-0.286291,0.024608,-0.332696,-0.239452,0.000526,0.00037,2194.509534,2716.103249,1.000682
beta_week,0.526268,0.012726,0.502309,0.5496,0.00019,0.0002,4492.576975,3060.925552,1.00006
sigma_eps,0.624853,0.009345,0.607302,0.642176,0.000169,0.000136,3047.136574,2764.219067,1.001263
sigma_pro,0.135666,0.036518,0.067909,0.20316,0.001327,0.000734,740.431051,897.084335,1.004163
sigma_season,0.026211,0.020101,7e-06,0.063218,0.000614,0.000429,1042.561981,1659.634537,1.001766
sigma_celeb,0.363069,0.021798,0.324364,0.406587,0.000629,0.000314,1221.586719,2024.608873,1.003293
