pro_id,pro_name,mean,sd,hdi_3,hdi_97
19,Derek Hough,0.6634398532541554,0.25575700625016723,0.1532123441561661,1.1154979522211093
57,Valentin Chmerkovskiy,0.2828257498161262,0.20857771441166853,-0.1014535075938943,0.6812496793576676
12,Charlotte Jorgensen,0.24929321119709613,0.3236364815302497,-0.3512378162486469,0.8594058811491398
50,Sasha Farber,0.22550524655410634,0.21449575881938288,-0.18598592793432897,0.614022496905305
45,Mark Ballas,0.21757495180267164,0.19298215932862214,-0.14914801428771707,0.5713773648148441
7,Artem Chigvintsev,0.15747905577654364,0.21593699755348128,-0.24334812756592103,0.554370044144807
44,Maksim Chmerkoskiy,0.1447799842261798,0.19442309800495408,-0.2139250216647402,0.5194087864764494
14,Cheryl Burke,0.1313853728041886,0.17452770026121023,-0.1947297088453081,0.4645049290093238
1,Alan Bersten (Rashad Jennings week 9),0.109292868298261,0.3025585889408859,-0.446216807649423,0.7005299670008349
58,Witney Carson,0.10064260194983822,0.20570475810957772,-0.2709436277483822,0.5105361939054812
40,Kym Johnson,0.10040722684091306,0.20849629801227346,-0.30919071634834544,0.4855828005928583
9,Brandon Armstrong,0.09990506996684027,0.23864980307193032,-0.3488869350279163,0.5591256922950006
16,Damian Whitewood,0.09711435675041082,0.30477898006983856,-0.501705389784282,0.6755154601745893
18,Daniella Karagach (Rumer Willis week 9),0.08485538774074683,0.2961212531716939,-0.49264108394034173,0.6155009096270959
55,Val Chmerkovskiy,0.08478196009319731,0.2976862070756662,-0.4995029860466622,0.631925718909462
32,Jenna Johnson,0.07773441180381772,0.23075546783963677,-0.3580365435716874,0.5105976673299708
47,Pasha Pashkov,0.07299035369762077,0.24044883744672496,-0.34465274083303,0.5750618189695504
24,Emma Slater/Kaitlyn Bristowe (week 9),0.07189901375720655,0.3012346962461509,-0.5239147586385589,0.6192304460724536
15,Corky Ballas,0.06930678344634303,0.29559892692802114,-0.478830003610495,0.6466791977642546
56,Val Chmerkovskiy (Joey Graziadei week 9),0.04834223894182641,0.29650402068795806,-0.5097767404302105,0.6400487903363496
42,Lindsay Arnold,0.04559421566444303,0.2194463093128133,-0.34989932195439744,0.48245873146935275
59,Witney Carson (Xoshitl Gomez week 9),0.04432244837570855,0.29315137755152765,-0.481954645295607,0.6303159451466497
0,Alan Bersten,0.03192956893761444,0.2272482297870166,-0.3977376335163224,0.45492150993071384
20,Dmitry Chaplin,0.017326523465121455,0.2663179140241276,-0.4792927698382234,0.5496311550421501
26,Ezra Sosa (Apolo Anton Ohno week 9),0.015417761739942361,0.28816025784102134,-0.5301947633612286,0.5676363201301254
46,Nick Kosovich,0.013210681166033621,0.2822257083000006,-0.5338707105901986,0.5479611853444432
29,Henry Byalikov,0.00890036989255429,0.3047513446166204,-0.5756735098589131,0.5885449302145187
28,Gleb Savchenko,0.006549098024312422,0.21435525806999559,-0.39359280424337967,0.41656867588710766
17,Daniella Karagach,0.004705575065847759,0.2598938722359932,-0.4821294518789975,0.5170919462345381
52,Tony Dovolani,-0.00117705660707395,0.18536307355249373,-0.34444332902406305,0.3553534870758568
31,Jan Ravnik,-0.018754756412565198,0.29065018249613367,-0.5758754515363679,0.5293911002438876
51,Sharna Burgess,-0.0270000159007549,0.20627013602192398,-0.4268774311111378,0.36402475299749204
53,Tristan MacManus,-0.027435940886238307,0.2561773358976423,-0.48641150252558385,0.489169357598588
43,Louis van Amstel,-0.02920400812852054,0.2197583116828299,-0.43884423558054253,0.39107934739093364
30,Inna Brayer,-0.03162644399910674,0.29698755786312364,-0.6088626095609587,0.5227682283791089
35,Julianne Hough,-0.03465950293850391,0.2582721527900541,-0.4907373304272418,0.4711658988303108
3,Allison Holker,-0.04955597433780213,0.264672762578094,-0.547207234886057,0.4513756821426926
10,Brian Fortuna,-0.05040122402848449,0.3013886218418291,-0.6540299451182529,0.5235459700434345
23,Emma Slater,-0.052455386123752994,0.19825516770587204,-0.4297232140039318,0.32319435822128867
27,Fabian Sanchez,-0.05856742611865765,0.3074018127736404,-0.6266730964862437,0.5434370260967506
25,Ezra Sosa,-0.05864890878482622,0.29714351153399443,-0.5933141282044506,0.517040350445265
39,Kym Herjavec,-0.07151739446887681,0.3058754912182175,-0.7010309344892844,0.46995125152167516
33,Jesse DeSoto,-0.07710704767410816,0.3109761726207701,-0.6796254598768117,0.49841815639023646
38,Koko Iwasaki,-0.08107872965524994,0.2883100015363635,-0.6577215460106179,0.44410187737148077
49,Rylee Arnold,-0.086393106482722,0.2756017717135283,-0.5963403932859468,0.43703901763744957
34,Jonathan Roberts,-0.09841306958439858,0.259312184388772,-0.6073253930050949,0.3773199632755919
4,Andrea Hale,-0.10587801953981418,0.3017292258428412,-0.6990940444913143,0.4345288336659957
5,Anna Demidova,-0.11574451848033432,0.3043062087535915,-0.7247485327864115,0.4490017623250024
54,Tyne Stecklein,-0.11876043678812366,0.3137098500252107,-0.7522157795393101,0.4173464420015558
2,Alec Mazo,-0.12703282025220106,0.2649778281171105,-0.6154089947430463,0.39878034788269634
48,Peta Murgatroyd,-0.13103900111360264,0.2032481107249528,-0.5295863176917607,0.23825790368770886
11,Britt Stewart,-0.13271520541616316,0.25200952065214594,-0.6044868671457025,0.36110700314228694
36,Karina Smirnoff,-0.14371340720470016,0.1907236219387602,-0.5114998213747634,0.21072229201615272
6,Anna Trebunskaya,-0.15526362541590294,0.22735170711019398,-0.585262166063897,0.24604840552750973
41,Lacey Schwimmer,-0.23766488446113315,0.2607257199524595,-0.7378612690117008,0.2254438169685202
